1.162389281828 -0.01284930740267 -0.2626790002713   0.01279346370653 -0.2622354563383   
3.487167845485 -0.004004734027778 -0.16944480255   0.004392430076653 -0.1686130204094   
5.811946409141 -0.002462262273547 -0.1277447986726   0.002731104672871 -0.1274781753697   
8.136724972798 -0.0009843095993263 -0.1011732660157   0.001604594646624 -0.1014891639585   
10.46150353645 -0.0009911116160311 -0.08401234399552   0.000646340987653 -0.08446632265867   
12.78628210011 -0.0006883672952227 -0.07050129270843   0.0007690579951015 -0.07091612299932   
15.11106066377 -0.0006580029846351 -0.06224828331097   0.0005071437124893 -0.06198616080145   
17.43583922742 -0.0009737634930654 -0.05471595396597   2.787475936501e-05 -0.05394026810578   
19.76061779108 -0.0005528094481338 -0.04848681178505   8.492091382252e-05 -0.04837372619079   
22.08539635474 -8.670602890951e-05 -0.04350550404818   0.0001696525589012 -0.04376553048493   
24.41017491839 0.0001631666678647 -0.03950264814567   0.0001442852346112 -0.03974854721302   
26.73495348205 0.0002325384123478 -0.03622597204106   5.911182110382e-05 -0.03631471006647   
29.05973204571 0.0002076302007755 -0.03348620432386   -2.899286178807e-05 -0.03342524345731   
31.38451060936 0.0001489594322753 -0.03115071665259   -9.363758010797e-05 -0.03099371393265   
33.70928917302 8.752211900862e-05 -0.02912782304261   -0.0001300314631264 -0.0289260673742   
36.03406773667 3.573624394879e-05 -0.02735329407064   -0.0001428256279312 -0.02714219670059   
38.35884630033 -3.352479568247e-06 -0.02578092697139   -0.0001390260909041 -0.0255806533896   
40.68362486399 -3.068102305446e-05 -0.02437643609505   -0.0001249911000009 -0.02419624221591   
43.00840342764 -4.848033628413e-05 -0.02311359419557   -0.0001055386018223 -0.0229560243104   
45.3331819913 -5.909247329202e-05 -0.02197179085904   -8.397288976218e-05 -0.02183572281454   
47.65796055496 -6.453269770812e-05 -0.02093446257419   -6.239732529289e-05 -0.02081706675669   
49.98273911861 -6.638573185297e-05 -0.01998805428997   -4.204252594318e-05 -0.01988593582929   
52.30751768227 -6.584009413893e-05 -0.01912131298638   -2.355571107664e-05 -0.01903113861381   
54.63229624593 -6.374061857991e-05 -0.01832477802852   -7.194410067491e-06 -0.01824352108774   
56.95707480958 -6.075068777133e-05 -0.01759046556717   6.959211032066e-06 -0.01751571460319   
59.28185337324 -5.710102839202e-05 -0.01691141065409   1.9151755836e-05 -0.01684072964586   
61.6066319369 -5.35969291385e-05 -0.01628206936893   2.914640216907e-05 -0.01621468853876   
63.93141050055 -4.929416749313e-05 -0.01569647117733   3.798915626381e-05 -0.01562954586888   
66.25618906421 -4.622771969037e-05 -0.01515197022698   4.451188273265e-05 -0.01508662945718   
68.58096762787 -4.214599019603e-05 -0.01464178120802   5.045383434137e-05 -0.01457566164288   
70.90574619152 -3.876768717808e-05 -0.01416611517146   5.51035353157e-05 -0.01409884133884   
73.23052475518 -3.613883575231e-05 -0.01371894391065   5.820408151966e-05 -0.01365153825526   
75.55530331883 -3.284382118488e-05 -0.01329874709244   6.117518808357e-05 -0.01322987706385   
77.88008188249 -2.993387891889e-05 -0.01290399230048   6.344220813075e-05 -0.0128330073761   
80.20486044615 -2.785438489573e-05 -0.01253151714131   6.458277082497e-05 -0.01245944174382   
82.5296390098 -2.573262245115e-05 -0.01217926760929   6.538049981693e-05 -0.01210634926776   
84.85441757346 -2.337744706579e-05 -0.01184657368263   6.612904982311e-05 -0.01177198359592   
87.17919613712 -2.130500128759e-05 -0.01153156921821   6.647686170724e-05 -0.01145510685306   
89.50397470077 -1.981010359158e-05 -0.01123277145283   6.620049101034e-05 -0.01115512741947   
91.82875326443 -1.850222388935e-05 -0.0109484111622   6.570551907895e-05 -0.01087009046029   
94.15353182809 -1.69239719298e-05 -0.01067861368593   6.523224970919e-05 -0.01059951021548   
96.47831039174 -1.553090431545e-05 -0.01042144849169   6.459892529754e-05 -0.01034094365949   
98.8030889554 -1.411198324339e-05 -0.01017653543948   6.398023764004e-05 -0.01009507878292   
101.1278675191 -1.320479406382e-05 -0.009942878128536   6.294441620206e-05 -0.009860532978229   
103.4526460827 -1.248061731919e-05 -0.009719327744996   6.177271281552e-05 -0.009636609436811   
105.7774246464 -1.151948313293e-05 -0.00950560106022   6.075703753699e-05 -0.009422791606052   
108.10220321 -1.057300337113e-05 -0.009301285477761   5.970676740269e-05 -0.009217933013271   
110.4269817737 -9.762581006578e-06 -0.009105568382597   5.858842718001e-05 -0.00902152300718   
112.7517603373 -8.991260718279e-06 -0.00891781373084   5.750539247152e-05 -0.008833427651875   
115.076538901 -8.345433753433e-06 -0.008737611664527   5.637686290098e-05 -0.008653095964812   
117.4013174647 -7.91282341967e-06 -0.008564515449397   5.511541657335e-05 -0.008479889058171   
119.7260960283 -7.534723695723e-06 -0.008398070545433   5.382693586351e-05 -0.008313469568423   
122.050874592 -7.021475172396e-06 -0.008237954622968   5.264960443577e-05 -0.00815354859441   
124.3756531556 -6.410322858206e-06 -0.008083915608263   5.15706812324e-05 -0.007999658959104   
126.7004317193 -5.875301129185e-06 -0.007935621976864   5.048997261239e-05 -0.007851331177821   
129.0252102829 -5.496844874747e-06 -0.007792656360557   4.93662812902e-05 -0.007708288272515   
131.3499888466 -5.213703119007e-06 -0.007654643812248   4.823527434203e-05 -0.007570384381398   
133.6747674102 -4.936078327048e-06 -0.007521335699035   4.713664295165e-05 -0.007437412808916   
135.9995459739 -4.653774323699e-06 -0.007392585708658   4.605856830748e-05 -0.007309110190987   
138.3243245376 -4.377140368561e-06 -0.007268223424119   4.499383112138e-05 -0.007185125996617   
140.6491031012 -4.148174686724e-06 -0.007148065833107   4.392454831734e-05 -0.007065316780536   
142.9738816649 -3.888870158626e-06 -0.0070318029747   4.291716724728e-05 -0.006949337142639   
145.2986602285 -3.643852540776e-06 -0.006919286889215   4.194711778446e-05 -0.006837214649784   
147.6234387922 -3.349820086398e-06 -0.006810202863399   4.105053281989e-05 -0.006728519373454   
149.9482173558 -3.099115952597e-06 -0.006704544054605   4.017202946773e-05 -0.006623263282023   
152.2729959195 -2.926475633029e-06 -0.00660206773472   3.927153479086e-05 -0.006521211709118   
154.5977744832 -2.791738829801e-06 -0.006502696595773   3.838532621188e-05 -0.006422220544527   
156.9225530468 -2.720290062798e-06 -0.006406310169514   3.748719832386e-05 -0.006326280024075   
159.2473316105 -2.645426935359e-06 -0.006312710863781   3.660722266792e-05 -0.00623321867914   
161.5721101741 -2.506474267746e-06 -0.006221799988359   3.579167611945e-05 -0.006142853116918   
163.8968887378 -2.34651191893e-06 -0.006133499036683   3.500602597247e-05 -0.006055111021859   
166.2216673014 -2.181817963153e-06 -0.006047632433048   3.42412111293e-05 -0.005969808670751   
168.5464458651 -2.008262310322e-06 -0.005964163240027   3.351263179764e-05 -0.005886836433714   
170.8712244287 -1.871162197252e-06 -0.005882968167517   3.280384075145e-05 -0.005806071620703   
173.1960029924 -1.77745325796e-06 -0.005803988383634   3.209970285239e-05 -0.005727556093445   
175.5207815561 -1.724810439957e-06 -0.005727049333775   3.140501476183e-05 -0.00565109447262   
177.8455601197 -1.646538075965e-06 -0.005652136894432   3.075893111798e-05 -0.005576696371713   
180.1703386834 -1.583447989187e-06 -0.005579164067554   3.011710027889e-05 -0.005504234053935   
182.495117247 -1.527865382711e-06 -0.005508011256986   2.948175426092e-05 -0.005433646853226   
184.8198958107 -1.453098796027e-06 -0.005438654641519   2.886675102604e-05 -0.005364879174961   
187.1446743743 -1.379156033474e-06 -0.005371037707745   2.825944997762e-05 -0.005297796180757   
189.469452938 -1.30750218747e-06 -0.005305083623294   2.766793481848e-05 -0.005232361016941   
191.7942315017 -1.244555977585e-06 -0.005240744972509   2.709057398499e-05 -0.005168551242374   
194.1190100653 -1.200092884919e-06 -0.005177956489659   2.652171328951e-05 -0.005106282460675   
196.443788629 -1.149057219802e-06 -0.005116648476444   2.59829906995e-05 -0.005045493695289   
198.7685671926 -1.078812613276e-06 -0.005056779560767   2.548268419034e-05 -0.004986141291314   
201.0933457563 -1.015102287716e-06 -0.004998301814825   2.499765085685e-05 -0.004928164533031   
203.4181243199 -9.67733985439e-07 -0.004941147461108   2.451758299025e-05 -0.004871517284196   
205.7429028836 -9.176214717828e-07 -0.004885267585033   2.40537472469e-05 -0.00481616370603   
208.0676814473 -8.606773230403e-07 -0.004830637962353   2.360648678232e-05 -0.004762044990729   
210.3924600109 -8.155573140139e-07 -0.004777226313924   2.316184602248e-05 -0.004709108645347   
212.7172385746 -7.886009754481e-07 -0.004724981875917   2.271671825933e-05 -0.004657331170783   
215.0420171382 -7.733128980823e-07 -0.004673863421739   2.227613792783e-05 -0.004606706728087   
217.3667957019 -7.580378722303e-07 -0.00462383710361   2.184710490715e-05 -0.00455718134756   
219.6915742655 -7.475690042654e-07 -0.004574882086832   2.14254377154e-05 -0.004508724170323   
222.0163528292 -7.271634894497e-07 -0.004526949692374   2.102147372218e-05 -0.004461271832437   
224.3411313928 -7.025766023386e-07 -0.004480021115539   2.063221358703e-05 -0.004414837968749   
226.6659099565 -6.666197082219e-07 -0.004434043660523   2.026043951639e-05 -0.004369354948304   
228.9906885202 -6.331851268657e-07 -0.004389010461205   1.98972197066e-05 -0.004324810807874   
231.3154670838 -6.033261456502e-07 -0.004344874906038   1.953918346846e-05 -0.004281157843087   
233.6402456475 -5.64036883117e-07 -0.004301617589015   1.919734257337e-05 -0.004238364985778   
235.9650242111 -5.230696304335e-07 -0.004259218638945   1.886698309022e-05 -0.004196423748402   
238.2898027748 -4.839642706065e-07 -0.004217646895013   1.85456379003e-05 -0.004155294986273   
240.6145813384 -4.550924099884e-07 -0.00417688256049   1.823031085182e-05 -0.004114952471132   
242.9393599021 -4.45396348154e-07 -0.004136901437864   1.791320027004e-05 -0.004075395044507   
245.2641384658 -4.412453732887e-07 -0.004097663720664   1.760270212329e-05 -0.004036588746764   
247.5889170294 -4.310984471068e-07 -0.004059168739705   1.730555379147e-05 -0.003998525609246   
249.9136955931 -4.223248900922e-07 -0.004021387921848   1.7015770216e-05 -0.003961173350263   
252.2384741567 -4.113915513992e-07 -0.003984310310371   1.673362578113e-05 -0.003924521321918   
254.5632527204 -4.046819541695e-07 -0.003947905992998   1.645637987256e-05 -0.003888526224869   
256.888031284 -3.979646130642e-07 -0.003912161674688   1.618518416454e-05 -0.003853199782228   
259.2128098477 -3.929986459796e-07 -0.003877051446286   1.591553257129e-05 -0.003818515460248   
261.5375884114 -3.799564251359e-07 -0.00384255803089   1.565485767741e-05 -0.00378444938856   
263.862366975 -3.588756464176e-07 -0.003808683231014   1.540240894809e-05 -0.003750991100449   
266.1871455387 -3.417002794612e-07 -0.003775405677839   1.515035595532e-05 -0.003718114235966   
268.5119241023 -3.242361953234e-07 -0.00374270427222   1.490435879445e-05 -0.003685807655171   
270.836702666 -3.047237442116e-07 -0.003710569951051   1.466660052724e-05 -0.003654058057866   
273.1614812296 -2.893249467614e-07 -0.003678982416058   1.443306014482e-05 -0.00362284811019   
275.4862597933 -2.766140771912e-07 -0.003647923177053   1.420501275211e-05 -0.00359217265363   
277.8110383569 -2.650734498918e-07 -0.003617385576347   1.398297952454e-05 -0.003562016757969   
280.1358169206 -2.564335293271e-07 -0.003587359275352   1.376594385989e-05 -0.003532358838667   
282.4605954843 -2.491793793016e-07 -0.003557829254649   1.355567231365e-05 -0.003503191092089   
284.7853740479 -2.42502343237e-07 -0.003528782498619   1.335220695959e-05 -0.003474506163609   
287.1101526116 -2.363017235424e-07 -0.003500204358081   1.315471299636e-05 -0.00344628582093   
289.4349311752 -2.281613872811e-07 -0.003472080862853   1.296449983829e-05 -0.003418516967686   
291.7597097389 -2.177926061921e-07 -0.00344440217406   1.278093735538e-05 -0.003391189412671   
294.0844883025 -2.118635389853e-07 -0.003417161058236   1.259795413433e-05 -0.003364296233726   
296.4092668662 -2.097950204015e-07 -0.003390344335707   1.241509881477e-05 -0.003337822547221   
298.7340454299 -2.081806875588e-07 -0.00336394565538   1.223456132588e-05 -0.003311767814395   
301.0588239935 -2.014685089544e-07 -0.00333795405696   1.205958355574e-05 -0.003286113066098   
303.3836025572 -1.953235818075e-07 -0.003312365856352   1.188606579641e-05 -0.003260857601349   
305.7083811208 -1.88213346702e-07 -0.003287162614762   1.171474129128e-05 -0.003235983682563   
308.0331596845 -1.7942880791e-07 -0.003262340923441   1.154718194239e-05 -0.003211490124168   
310.3579382481 -1.702993346828e-07 -0.003237891126702   1.138246958002e-05 -0.003187363213599   
312.6827168118 -1.628512420197e-07 -0.003213808342306   1.122010661472e-05 -0.003163591737174   
315.0074953754 -1.612071888413e-07 -0.003190083831823   1.105770652664e-05 -0.003140176792079   
317.3322739391 -1.611650024223e-07 -0.003166705848655   1.089787589099e-05 -0.003117111895559   
319.6570525028 -1.592779085993e-07 -0.003143669042593   1.074324772987e-05 -0.003094387916219   
321.9818310664 -1.564028788891e-07 -0.003120968506847   1.059243311072e-05 -0.003071997840934   
324.3066096301 -1.511043981331e-07 -0.003098591733015   1.044677707012e-05 -0.003049925375836   
326.6313881937 -1.435861868161e-07 -0.003076536602253   1.030648792224e-05 -0.003028170972569   
328.9561667574 -1.375880336664e-07 -0.003054790623641   1.016921022483e-05 -0.003006723752986   
331.280945321 -1.311714542586e-07 -0.003033350792046   1.003610344016e-05 -0.002985578552996   
333.6057238847 -1.271972393248e-07 -0.003012209487824   9.905690749237e-06 -0.002964722593965   
335.9305024484 -1.238700213144e-07 -0.002991360783667   9.778666280713e-06 -0.002944158427012   
338.255281012 -1.205023186565e-07 -0.002970796959873   9.654691981207e-06 -0.002923877307564   
340.5800595757 -1.164826999565e-07 -0.002950511947189   9.534010161748e-06 -0.002903873126765   
342.9048381393 -1.127085827685e-07 -0.002930502581134   9.414720604364e-06 -0.002884143610125   
345.229616703 -1.095355149263e-07 -0.002910760259721   9.296083084285e-06 -0.002864677040126   
347.5543952666 -1.035198363332e-07 -0.002891281104901   9.180997321992e-06 -0.002845469142896   
349.8791738303 -9.635429041016e-08 -0.002872063163352   9.068196006831e-06 -0.002826516713254   
352.203952394 -9.13426598334e-08 -0.002853098547866   8.955735094123e-06 -0.002807812665831   
354.5287309576 -8.771299075804e-08 -0.002834382411216   8.844788133921e-06 -0.002789353747   
356.8535095213 -8.602197943895e-08 -0.002815911590849   8.734817856969e-06 -0.002771136077216   
359.1782880849 -8.620636538841e-08 -0.002797678825332   8.625555615472e-06 -0.002753155799246   
361.5030666486 -8.517220651571e-08 -0.002779679322495   8.518928908703e-06 -0.002735410104046   
363.8278452122 -8.279612894106e-08 -0.002761911510979   8.414684612589e-06 -0.002717892739362   
366.1526237759 -8.137416655266e-08 -0.002744370535464   8.31116957871e-06 -0.002700597573919   
368.4774023395 -8.145928079482e-08 -0.00272705076216   8.208087144481e-06 -0.002683523593429   
370.8021809032 -8.165816611555e-08 -0.002709948064643   8.10633603253e-06 -0.002666665913969   
373.1269594669 -8.159474680144e-08 -0.002693059577331   8.006301414839e-06 -0.002650020267842   
