1.41372 -0.0136062 -0.164574  5.4131 -3.46592  0.0137488 -0.164622  4.58252 -3.46506  
4.24115 -0.00583305 -0.120279  5.36575 -3.28514  0.00602014 -0.119978  4.61893 -3.30298  
7.06858 -0.00341116 -0.097219  5.3399 -2.60803  0.00360224 -0.09728  4.64147 -2.59832  
9.89602 -0.00227057 -0.0801475  5.33956 -2.08533  0.0023154 -0.0801873  4.65417 -2.07909  
12.7235 -0.00138554 -0.0675032  5.29541 -1.67744  0.00157002 -0.0672843  4.66238 -1.72504  
15.5509 -0.0009648 -0.0575331  5.28498 -1.47825  0.00110123 -0.0574719  4.67197 -1.49459  
18.3783 -0.000800189 -0.0501142  5.31411 -1.26937  0.00073304 -0.0500076  4.71163 -1.31177  
21.2058 -0.000528842 -0.0442018  5.26693 -1.14813  0.000681441 -0.0441877  4.65516 -1.15237  
24.0332 -0.000446566 -0.0395507  5.28266 -1.00946  0.000555714 -0.0395084  4.64732 -1.03442  
26.8606 -0.000400946 -0.035757  5.31146 -0.88734  0.00043198 -0.0357022  4.66372 -0.929685  
29.6881 -0.000348678 -0.0325923  5.32652 -0.794618  0.000341458 -0.0325504  4.67981 -0.834323  
32.5155 -0.000293461 -0.0299183  5.32638 -0.725876  0.000279373 -0.0298955  4.68911 -0.751684  
35.3429 -0.000243044 -0.0276362  5.31692 -0.672674  0.000235725 -0.0276283  4.6926 -0.683118  
38.1704 -0.000200937 -0.0256701  5.30376 -0.62892  0.000203332 -0.0256709  4.69265 -0.62758  
40.9978 -0.000167376 -0.0239608  5.29047 -0.591098  0.000177963 -0.0239653  4.69118 -0.582924  
43.8252 -0.000141188 -0.0224622  5.27886 -0.557345  0.000157261 -0.0224672  4.68937 -0.546849  
46.6527 -0.000120852 -0.0211381  5.26959 -0.526683  0.000139891 -0.0211421  4.68785 -0.517332  
49.4801 -0.00010498 -0.0199601  5.26271 -0.498576  0.000125065 -0.0199622  4.68688 -0.492749  
52.3075 -9.24568e-05 -0.0189054  5.25796 -0.472705  0.000112277 -0.0189054  4.68652 -0.471858  
55.135 -8.24305e-05 -0.0179556  5.25502 -0.448845  0.00010117 -0.0179539  4.68673 -0.453739  
57.9624 -7.4272e-05 -0.0170961  5.25352 -0.426818  9.14769e-05 -0.0170927  4.68744 -0.437722  
60.7898 -6.75247e-05 -0.0163145  5.25316 -0.406468  8.29877e-05 -0.0163098  4.68852 -0.423326  
63.6173 -6.18558e-05 -0.0156007  5.25366 -0.387656  7.5528e-05 -0.0155951  4.68991 -0.4102  
66.4447 -5.70212e-05 -0.0149464  5.2548 -0.37024  6.89555e-05 -0.0149401  4.69149 -0.3981  
69.2721 -5.2851e-05 -0.0143445  5.25644 -0.354152  6.31401e-05 -0.0143377  4.69324 -0.386818  
72.0996 -4.91872e-05 -0.0137888  5.25832 -0.339127  5.80026e-05 -0.0137817  4.69498 -0.376287  
74.927 -4.59913e-05 -0.0132744  5.26066 -0.325446  5.33929e-05 -0.0132672  4.697 -0.366243  
77.7544 -4.30697e-05 -0.0127968  5.26269 -0.312266  4.93579e-05 -0.0127895  4.69856 -0.356907  
80.5819 -4.05419e-05 -0.0123522  5.26542 -0.300621  4.56442e-05 -0.0123449  4.70079 -0.347822  
83.4093 -3.81738e-05 -0.0119373  5.26762 -0.289228  4.24097e-05 -0.0119301  4.7023 -0.339292  
86.2367 -3.6046e-05 -0.0115493  5.26999 -0.278776  3.94598e-05 -0.0115423  4.70407 -0.331178  
89.0642 -3.41371e-05 -0.0111855  5.27261 -0.269181  3.67695e-05 -0.0111787  4.706 -0.323279  
91.8916 -3.23459e-05 -0.0108439  5.27485 -0.26001  3.43803e-05 -0.0108374  4.7075 -0.315773  
94.719 -3.0691e-05 -0.0105225  5.27698 -0.251352  3.22128e-05 -0.0105162  4.70894 -0.308657  
97.5465 -2.91891e-05 -0.0102195  5.27929 -0.243322  3.02113e-05 -0.0102134  4.71059 -0.301742  
100.374 -2.77993e-05 -0.00993343  5.28155 -0.235861  2.83908e-05 -0.00992759  4.71213 -0.295064  
103.201 -2.64905e-05 -0.00966288  5.28354 -0.228759  2.67468e-05 -0.00965728  4.7134 -0.288709  
106.029 -2.52664e-05 -0.00940663  5.28539 -0.221979  2.52441e-05 -0.00940128  4.71456 -0.282587  
108.856 -2.41397e-05 -0.0091636  5.28733 -0.215503  2.38432e-05 -0.00915847  4.7159 -0.276677  
111.684 -2.30849e-05 -0.00893275  5.28917 -0.209694  2.25602e-05 -0.00892786  4.71712 -0.270998  
114.511 -2.21077e-05 -0.00871322  5.29106 -0.204013  2.13698e-05 -0.00870856  4.71837 -0.265536  
117.338 -2.11684e-05 -0.0085042  5.29257 -0.198667  2.02934e-05 -0.00849976  4.71925 -0.260177  
120.166 -2.02923e-05 -0.00830496  5.29409 -0.19346  1.92881e-05 -0.00830072  4.7202 -0.255094  
122.993 -1.94745e-05 -0.00811482  5.29562 -0.188548  1.83462e-05 -0.00811077  4.72125 -0.250224  
125.821 -1.87017e-05 -0.00793317  5.29705 -0.184005  1.74758e-05 -0.0079293  4.72218 -0.245478  
128.648 -1.79783e-05 -0.00775945  5.2985 -0.179638  1.66639e-05 -0.00775577  4.72309 -0.240877  
131.476 -1.72963e-05 -0.00759317  5.29989 -0.175435  1.59066e-05 -0.00758966  4.72397 -0.236423  
134.303 -1.66442e-05 -0.00743385  5.30109 -0.171458  1.52065e-05 -0.0074305  4.72469 -0.23212  
137.131 -1.60244e-05 -0.00728107  5.30218 -0.167633  1.45544e-05 -0.00727788  4.72533 -0.227988  
139.958 -1.5442e-05 -0.00713443  5.30329 -0.163907  1.3938e-05 -0.00713138  4.72604 -0.224005  
142.785 -1.48939e-05 -0.00699358  5.30443 -0.16035  1.33555e-05 -0.00699066  4.72681 -0.220132  
145.613 -1.43734e-05 -0.00685816  5.30552 -0.157022  1.28103e-05 -0.00685538  4.72751 -0.216362  
148.44 -1.38782e-05 -0.00672788  5.30653 -0.153874  1.23011e-05 -0.00672523  4.72812 -0.212717  
151.268 -1.34079e-05 -0.00660246  5.3075 -0.150826  1.18227e-05 -0.00659992  4.72867 -0.209202  
154.095 -1.29606e-05 -0.00648162  5.30843 -0.147854  1.1371e-05 -0.00647919  4.72922 -0.205791  
156.923 -1.25333e-05 -0.00636512  5.30929 -0.144977  1.09446e-05 -0.00636279  4.72974 -0.202464  
159.75 -1.21248e-05 -0.00625272  5.31006 -0.142215  1.05426e-05 -0.0062505  4.73023 -0.199224  
162.577 -1.17356e-05 -0.00614423  5.3108 -0.139551  1.01627e-05 -0.0061421  4.73069 -0.196092  
165.405 -1.13667e-05 -0.00603943  5.31157 -0.136999  9.80157e-06 -0.00603739  4.73117 -0.193068  
168.232 -1.10158e-05 -0.00593814  5.31235 -0.134531  9.45892e-06 -0.00593618  4.73164 -0.190156  
171.06 -1.06822e-05 -0.00584018  5.31314 -0.132219  9.13242e-06 -0.00583831  4.73215 -0.187313  
173.887 -1.03608e-05 -0.0057454  5.31382 -0.129964  8.82518e-06 -0.00574361  4.73255 -0.184551  
176.715 -1.00534e-05 -0.00565365  5.31447 -0.127827  8.53305e-06 -0.00565193  4.73294 -0.181838  
