1.16239 -0.0131787 -0.262438  3.62823 -1.24075  0.0125761 -0.262313  3.38159 -1.24145  
3.48717 -0.00447839 -0.169499  3.63214 -1.45293  0.00445552 -0.169348  3.36903 -1.4601  
5.81195 -0.00238402 -0.127627  3.63406 -1.28442  0.0023644 -0.127449  3.36665 -1.2955  
8.13672 -0.00148069 -0.101468  3.63627 -1.12204  0.00168502 -0.101545  3.34517 -1.11495  
10.4615 -0.00119389 -0.0839859  3.66365 -0.94878  0.00120717 -0.0840746  3.3342 -0.936564  
12.7863 -0.000697163 -0.0712019  3.63395 -0.834736  0.000808588 -0.0712078  3.34477 -0.83371  
15.1111 -0.000497234 -0.0616757  3.62761 -0.734735  0.000439971 -0.0617977  3.38799 -0.702628  
17.4358 -0.00045274 -0.0543364  3.65117 -0.643152  0.000575802 -0.0542702  3.30678 -0.664763  
19.7606 -0.000421179 -0.0484863  3.67743 -0.572857  0.000426389 -0.0484548  3.32028 -0.586325  
22.0854 -0.000348644 -0.0437327  3.6808 -0.51791  0.000308873 -0.0437525  3.34021 -0.508001  
24.4102 -0.000269096 -0.0398058  3.66852 -0.472476  0.000252233 -0.0398415  3.34237 -0.450269  
26.735 -0.000204556 -0.0365115  3.65231 -0.4342  0.000219322 -0.0365422  3.33679 -0.411251  
29.0597 -0.000158517 -0.0337105  3.63853 -0.402055  0.000190734 -0.0337307  3.33321 -0.384179  
31.3845 -0.000127174 -0.0313011  3.62898 -0.375124  0.000162437 -0.0313123  3.33505 -0.363565  
33.7093 -0.000105822 -0.0292079  3.62335 -0.352465  0.000135596 -0.0292132  3.34174 -0.346134  
36.0341 -9.08327e-05 -0.0273734  3.62063 -0.333208  0.000111767 -0.0273756  3.35141 -0.330259  
38.3588 -7.98137e-05 -0.0257531  3.61983 -0.316629  9.169e-05 -0.025754  3.36225 -0.315262  
40.6836 -7.12965e-05 -0.024312  3.62017 -0.302156  7.53693e-05 -0.0243127  3.37294 -0.300925  
43.0084 -6.44068e-05 -0.0230223  3.62112 -0.289348  6.24027e-05 -0.0230234  3.38268 -0.28722  
45.3332 -5.86279e-05 -0.0218615  3.62232 -0.277875  5.22396e-05 -0.0218633  3.39108 -0.274173  
47.658 -5.36508e-05 -0.0208114  3.62355 -0.267484  4.43268e-05 -0.0208139  3.39801 -0.261816  
49.9827 -4.92859e-05 -0.0198569  3.62471 -0.257986  3.81754e-05 -0.0198601  3.40352 -0.250164  
52.3075 -4.54115e-05 -0.0189858  3.62572 -0.249236  3.33808e-05 -0.0189894  3.40771 -0.239217  
54.6323 -4.19443e-05 -0.0181875  3.62656 -0.241124  2.96261e-05 -0.0181915  3.41073 -0.228953  
56.9571 -3.88283e-05 -0.0174533  3.62724 -0.233559  2.66456e-05 -0.0174577  3.41281 -0.219358  
59.2819 -3.60079e-05 -0.0167759  3.62774 -0.226485  2.43007e-05 -0.0167805  3.41392 -0.210353  
61.6066 -3.34708e-05 -0.0161489  3.62815 -0.219807  2.2317e-05 -0.0161536  3.41468 -0.202033  
63.9314 -3.11421e-05 -0.0155669  3.62833 -0.213577  2.08496e-05 -0.0155717  3.4142 -0.194041  
66.2562 -2.9058e-05 -0.0150253  3.62854 -0.207573  1.94014e-05 -0.01503  3.41429 -0.186935  
68.581 -2.71368e-05 -0.01452  3.62855 -0.202034  1.83936e-05 -0.0145247  3.41298 -0.179836  
70.9057 -2.5388e-05 -0.0140475  3.6285 -0.196656  1.74271e-05 -0.0140521  3.4119 -0.173514  
73.2305 -2.37992e-05 -0.0136047  3.62844 -0.191563  1.65286e-05 -0.0136092  3.4109 -0.167575  
75.5553 -2.23475e-05 -0.0131889  3.62834 -0.186791  1.58398e-05 -0.0131932  3.40913 -0.161783  
77.8801 -2.10015e-05 -0.0127976  3.6281 -0.182172  1.52054e-05 -0.0128019  3.40735 -0.156461  
80.2049 -1.97706e-05 -0.0124289  3.62786 -0.177735  1.45646e-05 -0.012433  3.4059 -0.151572  
82.5296 -1.86538e-05 -0.0120808  3.62769 -0.173566  1.40005e-05 -0.0120847  3.40424 -0.146874  
84.8544 -1.76203e-05 -0.0117516  3.62748 -0.169579  1.35203e-05 -0.0117554  3.40226 -0.142339  
87.1792 -1.66517e-05 -0.0114398  3.62713 -0.165706  1.30637e-05 -0.0114435  3.40034 -0.13813  
89.504 -1.57631e-05 -0.0111442  3.62682 -0.162003  1.2601e-05 -0.0111476  3.39869 -0.134218  
91.8288 -1.49492e-05 -0.0108633  3.62658 -0.158484  1.21749e-05 -0.0108666  3.39698 -0.130593  
94.1535 -1.42001e-05 -0.0105963  3.62637 -0.155122  1.17679e-05 -0.0105995  3.39534 -0.126918  
96.4783 -1.34951e-05 -0.0103421  3.62608 -0.151833  1.1425e-05 -0.0103451  3.39332 -0.12355  
98.8031 -1.28337e-05 -0.0100997  3.62573 -0.148715  1.10588e-05 -0.0101026  3.39172 -0.120301  
101.128 -1.22198e-05 -0.00986845  3.62539 -0.145712  1.07169e-05 -0.00987122  3.39009 -0.117319  
103.453 -1.16571e-05 -0.00964752  3.62516 -0.142792  1.03917e-05 -0.00965016  3.38848 -0.114519  
105.777 -1.11337e-05 -0.00943625  3.62496 -0.140005  1.00663e-05 -0.00943877  3.38707 -0.111717  
108.102 -1.06394e-05 -0.00923402  3.6247 -0.137338  9.76859e-06 -0.00923644  3.38556 -0.109031  
110.427 -1.01745e-05 -0.00904027  3.62442 -0.134749  9.49518e-06 -0.00904257  3.38394 -0.106534  
112.752 -9.73825e-06 -0.00885447  3.62414 -0.132237  9.22221e-06 -0.00885667  3.38249 -0.104137  
115.077 -9.32786e-06 -0.00867614  3.62385 -0.129814  8.9514e-06 -0.00867825  3.3812 -0.101825  
117.401 -8.9443e-06 -0.00850485  3.62359 -0.127479  8.69502e-06 -0.00850686  3.3799 -0.0996586  
119.726 -8.5881e-06 -0.00834017  3.6234 -0.12523  8.45137e-06 -0.0083421  3.37861 -0.0976164  
122.051 -8.25437e-06 -0.00818175  3.62325 -0.123065  8.21381e-06 -0.00818359  3.3774 -0.0956167  
124.376 -7.9366e-06 -0.00802923  3.62305 -0.120972  7.98383e-06 -0.00803099  3.37626 -0.0936373  
126.7 -7.63279e-06 -0.00788228  3.6228 -0.118933  7.76614e-06 -0.00788397  3.3751 -0.0917288  
129.025 -7.34507e-06 -0.00774061  3.62253 -0.116943  7.55991e-06 -0.00774223  3.37392 -0.0899327  
131.35 -7.07514e-06 -0.00760394  3.62231 -0.115014  7.35977e-06 -0.00760549  3.3728 -0.0882392  
133.675 -6.82168e-06 -0.007472  3.62213 -0.11316  7.16319e-06 -0.00747348  3.37179 -0.0866132  
